trade_date,trade_month,interest_rate
4-Apr-19,4,1.5
5-Apr-19,4,1.5
8-Apr-19,4,1.5
9-Apr-19,4,1.5
10-Apr-19,4,1.5
11-Apr-19,4,1.5
12-Apr-19,4,1.5
15-Apr-19,4,1.5
16-Apr-19,4,1.5
17-Apr-19,4,1.5
18-Apr-19,4,1.5
23-Apr-19,4,1.5
24-Apr-19,4,1.5
26-Apr-19,4,1.5
29-Apr-19,4,1.5
30-Apr-19,4,1.5
1-May-19,5,1.5
2-May-19,5,1.5
3-May-19,5,1.5
6-May-19,5,1.5
7-May-19,5,1.5
8-May-19,5,1.5
9-May-19,5,1.5
10-May-19,5,1.5
13-May-19,5,1.5
14-May-19,5,1.5
15-May-19,5,1.5
16-May-19,5,1.5
17-May-19,5,1.5
20-May-19,5,1.5
21-May-19,5,1.5
22-May-19,5,1.5
23-May-19,5,1.5
24-May-19,5,1.5
27-May-19,5,1.5
28-May-19,5,1.5
29-May-19,5,1.5
30-May-19,5,1.5
31-May-19,5,1.5
3-Jun-19,6,1.5
4-Jun-19,6,1.5
5-Jun-19,6,1.25
6-Jun-19,6,1.25
7-Jun-19,6,1.25
11-Jun-19,6,1.25
12-Jun-19,6,1.25
13-Jun-19,6,1.25
14-Jun-19,6,1.25
17-Jun-19,6,1.25
18-Jun-19,6,1.25
19-Jun-19,6,1.25
20-Jun-19,6,1.25
21-Jun-19,6,1.25
24-Jun-19,6,1.25
25-Jun-19,6,1.25
26-Jun-19,6,1.25
27-Jun-19,6,1.25
28-Jun-19,6,1.25
1-Jul-19,7,1.25
2-Jul-19,7,1.25
3-Jul-19,7,1
4-Jul-19,7,1
5-Jul-19,7,1
8-Jul-19,7,1
9-Jul-19,7,1
10-Jul-19,7,1
11-Jul-19,7,1
12-Jul-19,7,1
15-Jul-19,7,1
16-Jul-19,7,1
17-Jul-19,7,1
18-Jul-19,7,1
19-Jul-19,7,1
22-Jul-19,7,1
23-Jul-19,7,1
24-Jul-19,7,1
25-Jul-19,7,1
26-Jul-19,7,1
29-Jul-19,7,1
30-Jul-19,7,1
31-Jul-19,7,1
1-Aug-19,8,1
2-Aug-19,8,1
5-Aug-19,8,1
6-Aug-19,8,1
7-Aug-19,8,1
8-Aug-19,8,1
9-Aug-19,8,1
12-Aug-19,8,1
13-Aug-19,8,1
14-Aug-19,8,1
15-Aug-19,8,1
16-Aug-19,8,1
19-Aug-19,8,1
20-Aug-19,8,1
21-Aug-19,8,1
22-Aug-19,8,1
23-Aug-19,8,1
26-Aug-19,8,1
27-Aug-19,8,1
28-Aug-19,8,1
29-Aug-19,8,1
30-Aug-19,8,1
2-Sep-19,9,1
3-Sep-19,9,1
4-Sep-19,9,1
5-Sep-19,9,1
6-Sep-19,9,1
9-Sep-19,9,1
10-Sep-19,9,1
11-Sep-19,9,1
12-Sep-19,9,1
13-Sep-19,9,1
16-Sep-19,9,1
17-Sep-19,9,1
18-Sep-19,9,1
19-Sep-19,9,1
20-Sep-19,9,1
23-Sep-19,9,1
24-Sep-19,9,1
25-Sep-19,9,1
26-Sep-19,9,1
27-Sep-19,9,1
30-Sep-19,9,1
1-Oct-19,10,1
2-Oct-19,10,0.75
3-Oct-19,10,0.75
4-Oct-19,10,0.75
7-Oct-19,10,0.75
8-Oct-19,10,0.75
9-Oct-19,10,0.75
10-Oct-19,10,0.75
11-Oct-19,10,0.75
14-Oct-19,10,0.75
15-Oct-19,10,0.75
16-Oct-19,10,0.75
17-Oct-19,10,0.75
18-Oct-19,10,0.75
21-Oct-19,10,0.75
22-Oct-19,10,0.75
23-Oct-19,10,0.75
24-Oct-19,10,0.75
25-Oct-19,10,0.75
28-Oct-19,10,0.75
29-Oct-19,10,0.75
30-Oct-19,10,0.75
31-Oct-19,10,0.75
1-Nov-19,11,0.75
4-Nov-19,11,0.75
5-Nov-19,11,0.75
6-Nov-19,11,0.75
7-Nov-19,11,0.75
8-Nov-19,11,0.75
11-Nov-19,11,0.75
12-Nov-19,11,0.75
13-Nov-19,11,0.75
14-Nov-19,11,0.75
15-Nov-19,11,0.75
18-Nov-19,11,0.75
19-Nov-19,11,0.75
20-Nov-19,11,0.75
21-Nov-19,11,0.75
22-Nov-19,11,0.75
25-Nov-19,11,0.75
26-Nov-19,11,0.75
27-Nov-19,11,0.75
28-Nov-19,11,0.75
29-Nov-19,11,0.75
2-Dec-19,12,0.75
3-Dec-19,12,0.75
4-Dec-19,12,0.75
5-Dec-19,12,0.75
6-Dec-19,12,0.75
9-Dec-19,12,0.75
10-Dec-19,12,0.75
11-Dec-19,12,0.75
12-Dec-19,12,0.75
13-Dec-19,12,0.75
16-Dec-19,12,0.75
17-Dec-19,12,0.75
